region_id,region_name_vi,grdp_per_capita_million_VND,fdi_registered_billion_USD,digital_index_0_100,ai_readiness_0_100,trained_labor_pct,rd_intensity_pct,internet_penetration_pct,gini_coef
1,Trung du miền núi phía Bắc,57.0,3.5,38,22,21.5,0.18,72,0.405
2,Đồng bằng sông Hồng,152.3,20.0,78,68,36.8,0.85,92,0.358
3,Bắc Trung Bộ và Duyên hải miền Trung,87.5,8.2,55,40,27.5,0.32,84,0.372
4,Tây Nguyên,68.9,0.8,32,18,18.2,0.15,68,0.412
5,Đông Nam Bộ,158.9,18.5,82,75,42.5,0.78,94,0.385
6,Đồng bằng sông Cửu Long,80.5,2.1,48,30,16.8,0.22,78,0.392
